# LMFDB BJT fixture generated by `clgrp build-bjt-fixture`
# seed=20260217
# scan_limit=40000
# generated_unix=1771317392
# r	m	k	line	delta	discriminant	class_number	invariant_factors_csv
3	8	1	140	1	-268436827	2063	2063
3	8	1	141	2	-268436843	5456	2728,2
3	8	1	143	1	-268436859	4170	4170
3	8	1	144	1	-268436867	6345	6345
3	8	1	146	1	-268436891	6484	3242,2
3	8	1	245	1	-268437899	3760	1880,2
3	8	1	273	1	-268438171	3192	3192
3	8	1	320	2	-268438643	3024	1512,2
3	8	1	370	1	-268439131	2930	2930
3	8	1	388	1	-268439307	2984	746,2,2
3	8	1	424	1	-268439667	3074	3074
3	8	1	429	2	-268439723	4887	4887
3	8	1	460	2	-268440011	5736	1434,2,2
3	8	1	495	2	-268440371	7268	7268
3	8	1	546	1	-268440859	2197	2197
3	8	1	579	1	-268441187	5060	5060
3	8	1	609	1	-268441499	5798	5798
3	8	1	755	2	-268442931	3496	3496
3	8	1	762	2	-268443003	3792	3792
3	8	1	820	1	-268443563	3606	3606
3	8	1	860	1	-268443947	4531	4531
3	8	1	902	1	-268444379	5862	5862
3	8	1	918	2	-268444547	4224	1056,4
3	8	1	1003	1	-268445371	5456	1364,4
3	8	1	1087	1	-268446187	1640	410,2,2
3	8	1	1119	1	-268446515	5832	2916,2
3	8	1	1224	1	-268447531	3534	3534
3	8	1	1244	1	-268447731	5520	1380,2,2
3	8	1	1247	1	-268447755	2888	722,2,2
3	8	1	1274	1	-268448011	4872	1218,2,2
3	8	1	1461	1	-268449899	6480	6480
3	8	1	1485	1	-268450147	2360	1180,2
3	8	1	1533	1	-268450603	1829	1829
3	8	1	1599	1	-268451267	3944	986,2,2
3	8	1	1629	1	-268451563	2338	2338
3	8	1	1651	1	-268451771	6184	3092,2
3	8	1	1673	1	-268451995	2040	510,2,2
3	8	1	1733	1	-268452595	2920	2920
3	8	1	1765	1	-268452915	4056	1014,2,2
3	8	1	1889	1	-268454139	3628	1814,2
3	8	1	1916	1	-268454395	3312	828,2,2
3	8	1	1918	1	-268454419	2867	2867
3	8	1	1953	1	-268454747	3264	816,4
3	8	1	1996	1	-268455155	5004	2502,2
3	8	1	2016	1	-268455355	2460	1230,2
3	8	1	2037	2	-268455563	5982	5982
3	8	1	2093	1	-268456115	4248	2124,2
3	8	1	2126	2	-268456443	3030	3030
3	8	1	2129	2	-268456483	1480	740,2
3	8	1	2169	2	-268456883	3393	3393
3	8	1	2204	2	-268457219	6080	1520,2,2
3	8	1	2217	1	-268457339	7924	7924
3	8	1	2234	2	-268457507	4791	4791
3	8	1	2295	1	-268458107	3442	3442
3	8	1	2306	1	-268458203	5936	1484,4
3	8	1	2392	3	-268459091	10756	10756
3	8	1	2461	1	-268459763	5648	1412,2,2
3	8	1	2544	1	-268460579	7996	3998,2
3	8	1	2561	1	-268460755	4340	2170,2
3	8	1	2609	1	-268461219	5024	1256,2,2
3	8	1	2658	1	-268461699	3444	1722,2
3	8	1	2768	1	-268462787	3896	1948,2
3	8	1	2807	1	-268463171	4330	4330
3	8	1	2811	1	-268463219	10107	10107
3	8	1	2843	1	-268463531	6492	3246,2
3	8	1	2893	1	-268464019	4353	4353
3	8	1	2926	2	-268464347	3319	3319
3	8	1	2950	1	-268464587	7290	7290
3	8	1	3119	1	-268466243	4360	2180,2
3	8	1	3178	1	-268466819	6744	6744
3	8	1	3222	1	-268467251	7146	7146
3	8	1	3230	1	-268467331	4696	2348,2
3	8	1	3303	1	-268468059	4860	4860
3	8	1	3342	2	-268468451	7664	3832,2
3	8	1	3360	1	-268468627	1656	828,2
3	8	1	3376	1	-268468779	6152	1538,2,2
3	8	1	3377	1	-268468787	4407	4407
3	8	1	3398	1	-268468987	2420	1210,2
3	8	1	3438	2	-268469387	4777	4777
3	8	1	3448	2	-268469483	5372	5372
3	8	1	3458	2	-268469587	1768	1768
3	8	1	3461	1	-268469619	4996	2498,2
3	8	1	3465	1	-268469651	5370	5370
3	8	1	3488	1	-268469899	3802	3802
3	8	1	3713	2	-268472123	6652	3326,2
3	8	1	3718	1	-268472163	1904	952,2
3	8	1	3730	2	-268472283	3048	1524,2
3	8	1	3737	1	-268472355	3456	288,6,2
3	8	1	3746	1	-268472435	5088	636,2,2,2
3	8	1	3759	1	-268472571	4758	4758
3	8	1	3767	1	-268472643	3876	1938,2
3	8	1	3801	1	-268472971	3360	840,2,2
3	8	1	3807	1	-268473027	2460	1230,2
3	8	1	3920	1	-268474147	1824	1824
3	8	1	3940	1	-268474339	3408	3408
3	8	1	4019	1	-268475107	3002	3002
3	8	1	4118	1	-268476099	3620	1810,2
3	8	1	4177	1	-268476699	5024	628,2,2,2
3	8	1	4212	2	-268477035	2976	744,2,2
3	8	1	4259	1	-268477507	1742	1742
3	8	1	4266	1	-268477571	7641	7641
3	8	1	4377	1	-268478659	2499	2499
3	8	1	4414	1	-268479019	4490	4490
3	8	1	4454	1	-268479419	9744	1218,2,2,2
3	8	1	4520	2	-268480083	2672	2672
3	8	1	4565	1	-268480523	5104	1276,4
3	8	1	4566	1	-268480531	2236	2236
3	8	1	4609	2	-268480979	6354	6354
3	8	1	4624	2	-268481123	4749	4749
3	8	1	4651	1	-268481379	4136	2068,2
3	8	1	4670	1	-268481571	4640	1160,2,2
3	8	1	4674	1	-268481611	3560	3560
3	8	1	4723	2	-268482131	4603	4603
3	8	1	4738	1	-268482259	3132	3132
3	8	1	4770	1	-268482579	5442	5442
3	8	1	4879	2	-268483643	4962	4962
3	8	1	4882	1	-268483667	3506	3506
3	8	1	4947	1	-268484331	4296	2148,2
3	8	1	4963	2	-268484483	3107	3107
3	8	1	4979	1	-268484627	4129	4129
3	8	1	5022	1	-268485059	8397	8397
3	8	1	5161	1	-268486395	2212	1106,2
3	8	1	5181	1	-268486603	1644	822,2
3	8	1	5190	1	-268486691	5064	1266,2,2
3	8	1	5301	1	-268487795	4064	1016,2,2
3	8	1	5480	1	-268489555	2704	676,4
3	8	1	5490	1	-268489651	3577	3577
3	8	1	5522	3	-268489979	6688	3344,2
3	8	1	5534	2	-268490099	6766	6766
3	8	1	5569	1	-268490443	1896	948,2
3	8	1	5595	1	-268490707	1792	224,4,2
3	8	1	5617	1	-268490923	1989	1989
3	8	1	5624	2	-268490987	3489	3489
3	8	1	5643	1	-268491179	8080	4040,2
3	8	1	5657	1	-268491315	2964	1482,2
3	8	1	5670	1	-268491435	2960	1480,2
3	8	1	5681	1	-268491547	1815	1815
3	8	1	5727	1	-268492011	3080	1540,2
3	8	1	5762	1	-268492339	3588	1794,2
3	8	1	5769	2	-268492427	3344	3344
3	8	1	5792	1	-268492651	2432	1216,2
3	8	1	5804	1	-268492771	2787	2787
3	8	1	5851	1	-268493251	3324	1662,2
3	8	1	5856	1	-268493307	3822	3822
3	8	1	5882	2	-268493563	2096	524,2,2
3	8	1	5888	1	-268493619	3984	3984
3	8	1	5897	1	-268493707	3328	832,2,2
3	8	1	6043	1	-268495131	3392	3392
3	8	1	6151	1	-268496203	3102	3102
3	8	1	6208	1	-268496763	3130	3130
3	8	1	6267	1	-268497355	2872	718,2,2
3	8	1	6322	2	-268497899	7755	7755
3	8	1	6397	1	-268498651	2232	744,3
3	8	1	6427	1	-268498939	3332	3332
3	8	1	6468	2	-268499339	7772	3886,2
3	8	1	6519	1	-268499827	2102	2102
3	8	1	6527	2	-268499915	5408	676,4,2
3	8	1	6539	1	-268500019	3085	3085
3	8	1	6571	3	-268500347	3873	3873
3	8	1	6638	1	-268501019	6819	6819
3	8	1	6644	2	-268501083	2388	1194,2
3	8	1	6650	2	-268501139	4125	4125
3	8	1	6687	2	-268501499	6946	6946
